fecha,hospital,provincia,dia_semana,mes,year,pacientes_ayer,temperatura_media,temperatura_maxima,temperatura_minima,viento,viento_maximo,precipitaciones,humedad,target_pacientes
2024-01-16,C.A.U. Burgos,Burgos,MARTES,1,2024,152,10.4,12.3,8.0,23.7,42.4,4.57,90.0,144
2024-01-17,C.A.U. Burgos,Burgos,MIÉRCOLES,1,2024,144,9.4,11.0,8.0,40.7,50.0,6.1,84.0,135
2024-01-18,C.A.U. Burgos,Burgos,JUEVES,1,2024,135,7.4,11.0,2.8,34.6,51.9,3.3,82.0,119
2024-01-19,C.A.U. Burgos,Burgos,VIERNES,1,2024,119,0.1,2.5,-5.0,26.9,44.6,0.51,69.0,118
2024-01-20,C.A.U. Burgos,Burgos,SÁBADO,1,2024,118,-2.3,5.4,-7.2,10.2,16.5,0.0,75.0,129
2024-01-21,C.A.U. Burgos,Burgos,DOMINGO,1,2024,129,0.9,7.7,-6.0,13.9,27.8,0.0,83.0,111
2024-01-22,C.A.U. Burgos,Burgos,LUNES,1,2024,111,7.5,10.0,4.0,22.0,31.7,0.0,81.0,134
2024-01-23,C.A.U. Burgos,Burgos,MARTES,1,2024,134,8.7,10.0,8.0,13.5,20.6,0.25,97.0,123
2024-01-24,C.A.U. Burgos,Burgos,MIÉRCOLES,1,2024,123,7.4,14.0,3.0,8.5,14.8,0.0,95.0,116
2024-01-25,C.A.U. Burgos,Burgos,JUEVES,1,2024,116,5.7,15.4,0.0,4.6,16.5,0.0,86.0,116
2024-01-26,C.A.U. Burgos,Burgos,VIERNES,1,2024,116,6.1,16.2,-1.9,6.1,22.2,0.25,73.0,136
2024-01-27,C.A.U. Burgos,Burgos,SÁBADO,1,2024,136,6.5,20.0,-0.6,4.3,13.0,0.0,75.0,111
2024-01-28,C.A.U. Burgos,Burgos,DOMINGO,1,2024,111,6.3,17.9,-0.1,7.8,20.6,0.0,78.0,114
2024-01-29,C.A.U. Burgos,Burgos,LUNES,1,2024,114,4.7,10.9,1.0,12.2,22.2,0.0,95.0,133
2024-01-30,C.A.U. Burgos,Burgos,MARTES,1,2024,133,5.1,10.2,2.0,11.1,20.6,0.0,97.0,137
2024-01-31,C.A.U. Burgos,Burgos,MIÉRCOLES,1,2024,137,6.6,15.6,1.9,8.9,18.3,0.0,77.0,121
2024-02-01,C.A.U. Burgos,Burgos,JUEVES,2,2024,121,6.2,14.7,-0.5,10.2,22.2,0.0,73.0,145
2024-02-02,C.A.U. Burgos,Burgos,VIERNES,2,2024,145,6.6,10.0,3.0,18.9,38.9,0.0,88.0,126
2024-02-03,C.A.U. Burgos,Burgos,SÁBADO,2,2024,126,5.8,16.3,-2.2,3.7,9.4,0.0,77.0,146
2024-02-04,C.A.U. Burgos,Burgos,DOMINGO,2,2024,146,5.8,16.5,-2.0,3.3,9.4,0.0,72.0,128
2024-02-05,C.A.U. Burgos,Burgos,LUNES,2,2024,128,5.1,14.3,-2.3,3.1,11.1,0.0,77.0,128
2024-02-06,C.A.U. Burgos,Burgos,MARTES,2,2024,128,5.5,13.6,0.0,5.2,14.8,0.0,85.0,139
2024-02-07,C.A.U. Burgos,Burgos,MIÉRCOLES,2,2024,139,6.0,9.5,1.0,19.4,31.7,0.0,88.0,142
2024-02-08,C.A.U. Burgos,Burgos,JUEVES,2,2024,142,8.6,11.0,7.0,42.2,61.1,0.0,71.0,137
2024-02-09,C.A.U. Burgos,Burgos,VIERNES,2,2024,137,8.1,10.2,6.0,26.5,40.7,4.06,91.0,147
2024-02-10,C.A.U. Burgos,Burgos,SÁBADO,2,2024,147,4.2,7.8,1.0,20.2,38.9,16.76,82.0,130
2024-02-11,C.A.U. Burgos,Burgos,DOMINGO,2,2024,130,3.1,7.0,0.0,21.1,27.8,0.76,87.0,124
2024-02-12,C.A.U. Burgos,Burgos,LUNES,2,2024,124,7.6,12.9,4.6,14.6,31.7,1.52,83.0,136
2024-02-13,C.A.U. Burgos,Burgos,MARTES,2,2024,136,9.2,13.4,4.6,18.0,27.8,0.0,88.0,153
2024-02-14,C.A.U. Burgos,Burgos,MIÉRCOLES,2,2024,153,11.2,17.2,8.0,10.9,22.2,0.0,87.0,129
2024-02-15,C.A.U. Burgos,Burgos,JUEVES,2,2024,129,10.8,17.6,6.0,20.6,50.0,0.0,79.0,131
2024-02-16,C.A.U. Burgos,Burgos,VIERNES,2,2024,131,7.6,12.1,3.0,7.2,18.3,12.7,85.0,155
2024-02-17,C.A.U. Burgos,Burgos,SÁBADO,2,2024,155,4.9,12.6,-1.6,9.1,22.2,0.51,77.0,113
2024-02-18,C.A.U. Burgos,Burgos,DOMINGO,2,2024,113,6.6,16.8,-1.5,6.3,13.0,0.25,73.0,118
2024-02-19,C.A.U. Burgos,Burgos,LUNES,2,2024,118,9.0,13.9,3.0,14.8,31.7,0.0,77.0,159
2024-02-20,C.A.U. Burgos,Burgos,MARTES,2,2024,159,6.9,17.6,-1.5,5.4,22.2,0.0,53.0,128
2024-02-21,C.A.U. Burgos,Burgos,MIÉRCOLES,2,2024,128,7.1,13.0,-1.0,13.9,29.4,0.0,67.0,103
2024-02-22,C.A.U. Burgos,Burgos,JUEVES,2,2024,103,7.7,11.3,1.0,30.0,50.0,0.0,84.0,119
2024-02-23,C.A.U. Burgos,Burgos,VIERNES,2,2024,119,2.8,7.7,0.0,26.5,46.5,3.05,77.0,120
2024-02-24,C.A.U. Burgos,Burgos,SÁBADO,2,2024,120,3.6,8.0,0.0,24.3,37.0,0.0,75.0,120
2024-02-25,C.A.U. Burgos,Burgos,DOMINGO,2,2024,120,7.3,10.0,3.7,39.6,51.9,6.1,90.0,102
2024-02-26,C.A.U. Burgos,Burgos,LUNES,2,2024,102,3.4,6.3,0.6,19.6,33.5,3.3,88.0,144
2024-02-27,C.A.U. Burgos,Burgos,MARTES,2,2024,144,2.4,6.0,0.6,30.2,46.5,6.86,82.0,145
2024-02-28,C.A.U. Burgos,Burgos,MIÉRCOLES,2,2024,145,4.6,9.6,1.9,17.0,29.4,0.51,86.0,114
2024-02-29,C.A.U. Burgos,Burgos,JUEVES,2,2024,114,2.3,7.0,-1.7,10.9,38.9,0.25,92.0,131
2024-03-01,C.A.U. Burgos,Burgos,VIERNES,3,2024,131,2.6,7.2,-2.2,24.6,40.7,2.29,84.0,137
2024-03-02,C.A.U. Burgos,Burgos,SÁBADO,3,2024,137,3.0,6.0,-2.1,28.5,53.5,1.02,93.0,137
2024-03-03,C.A.U. Burgos,Burgos,DOMINGO,3,2024,137,0.6,6.0,-4.4,9.4,24.1,10.92,85.0,125
2024-03-04,C.A.U. Burgos,Burgos,LUNES,3,2024,125,5.5,10.5,-0.8,21.7,35.2,3.81,86.0,141
2024-03-05,C.A.U. Burgos,Burgos,MARTES,3,2024,141,3.9,9.6,0.9,13.1,20.6,1.02,77.0,150
2024-03-06,C.A.U. Burgos,Burgos,MIÉRCOLES,3,2024,150,6.3,12.4,-1.0,10.6,18.3,0.0,63.0,128
2024-03-07,C.A.U. Burgos,Burgos,JUEVES,3,2024,128,6.2,12.0,1.7,22.8,42.4,0.25,68.0,139
2024-03-08,C.A.U. Burgos,Burgos,VIERNES,3,2024,139,3.8,8.8,1.0,29.6,50.0,8.89,84.0,133
2024-03-09,C.A.U. Burgos,Burgos,SÁBADO,3,2024,133,3.2,7.8,1.0,29.4,50.0,9.65,85.0,128
2024-03-10,C.A.U. Burgos,Burgos,DOMINGO,3,2024,128,5.3,11.1,1.7,25.2,37.0,4.32,78.0,118
2024-03-11,C.A.U. Burgos,Burgos,LUNES,3,2024,118,5.4,11.8,2.0,15.2,29.4,0.25,76.0,163
2024-03-12,C.A.U. Burgos,Burgos,MARTES,3,2024,163,5.9,15.0,-1.0,3.9,7.6,0.0,70.0,141
2024-03-13,C.A.U. Burgos,Burgos,MIÉRCOLES,3,2024,141,7.6,18.6,-2.7,5.6,18.3,0.0,59.0,130
2024-03-14,C.A.U. Burgos,Burgos,JUEVES,3,2024,130,8.6,15.3,3.0,15.4,35.2,0.0,74.0,142
2024-03-15,C.A.U. Burgos,Burgos,VIERNES,3,2024,142,9.7,15.0,6.1,13.1,20.6,2.03,87.0,129
2024-03-16,C.A.U. Burgos,Burgos,SÁBADO,3,2024,129,9.5,16.5,4.1,10.9,24.1,0.51,83.0,108
2024-03-17,C.A.U. Burgos,Burgos,DOMINGO,3,2024,108,11.6,18.0,6.0,10.9,20.6,0.0,80.0,139
2024-03-18,C.A.U. Burgos,Burgos,LUNES,3,2024,139,11.3,20.5,3.6,5.9,18.3,0.0,74.0,147
2024-03-19,C.A.U. Burgos,Burgos,MARTES,3,2024,147,12.3,21.9,3.5,6.3,16.5,0.0,65.0,144
2024-03-20,C.A.U. Burgos,Burgos,MIÉRCOLES,3,2024,144,13.0,22.3,6.6,11.1,27.8,0.0,70.0,151
2024-03-21,C.A.U. Burgos,Burgos,JUEVES,3,2024,151,12.6,19.2,7.9,18.5,35.2,0.0,76.0,143
2024-03-22,C.A.U. Burgos,Burgos,VIERNES,3,2024,143,13.7,24.6,4.2,8.1,27.8,0.0,67.0,138
2024-03-23,C.A.U. Burgos,Burgos,SÁBADO,3,2024,138,9.6,14.1,3.0,25.6,35.2,0.0,79.0,136
2024-03-24,C.A.U. Burgos,Burgos,DOMINGO,3,2024,136,6.3,13.4,2.0,23.2,37.0,0.0,75.0,130
2024-03-25,C.A.U. Burgos,Burgos,LUNES,3,2024,130,7.3,16.0,2.0,13.0,33.5,0.0,74.0,166
2024-03-26,C.A.U. Burgos,Burgos,MARTES,3,2024,166,3.7,7.1,1.0,20.7,33.5,0.0,68.0,135
2024-03-27,C.A.U. Burgos,Burgos,MIÉRCOLES,3,2024,135,6.3,12.3,1.0,39.6,64.8,0.76,74.0,124
2024-03-28,C.A.U. Burgos,Burgos,JUEVES,3,2024,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119
2024-03-29,C.A.U. Burgos,Burgos,VIERNES,3,2024,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132
2024-03-30,C.A.U. Burgos,Burgos,SÁBADO,3,2024,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
2024-03-31,C.A.U. Burgos,Burgos,DOMINGO,3,2024,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126
2024-04-01,C.A.U. Burgos,Burgos,LUNES,4,2024,126,5.3,9.9,3.0,27.8,44.6,1.02,76.0,112
2024-04-02,C.A.U. Burgos,Burgos,MARTES,4,2024,112,5.2,8.3,2.0,25.7,37.0,0.0,88.0,133
2024-04-03,C.A.U. Burgos,Burgos,MIÉRCOLES,4,2024,133,9.7,15.0,7.0,21.9,31.7,4.83,79.0,130
2024-04-04,C.A.U. Burgos,Burgos,JUEVES,4,2024,130,11.4,18.0,5.0,16.3,25.9,0.0,67.0,160
2024-04-05,C.A.U. Burgos,Burgos,VIERNES,4,2024,160,15.0,22.6,7.8,23.0,40.7,0.0,43.0,127
2024-04-06,C.A.U. Burgos,Burgos,SÁBADO,4,2024,127,16.5,20.2,12.0,28.3,46.5,0.0,45.0,138
2024-04-07,C.A.U. Burgos,Burgos,DOMINGO,4,2024,138,11.6,16.5,8.0,11.1,35.2,0.0,77.0,123
2024-04-08,C.A.U. Burgos,Burgos,LUNES,4,2024,123,8.1,14.0,2.7,20.2,50.0,4.32,85.0,149
2024-04-09,C.A.U. Burgos,Burgos,MARTES,4,2024,149,4.9,12.0,-1.0,8.1,16.5,6.35,73.0,122
2024-04-10,C.A.U. Burgos,Burgos,MIÉRCOLES,4,2024,122,7.4,15.8,-0.2,9.3,22.2,0.0,70.0,135
2024-04-11,C.A.U. Burgos,Burgos,JUEVES,4,2024,135,11.0,19.6,3.0,11.3,22.2,0.0,65.0,136
2024-04-12,C.A.U. Burgos,Burgos,VIERNES,4,2024,136,14.3,24.7,3.2,6.5,20.6,0.0,55.0,133
2024-04-13,C.A.U. Burgos,Burgos,SÁBADO,4,2024,133,15.3,26.3,4.2,5.0,16.5,0.0,51.0,120
2024-04-14,C.A.U. Burgos,Burgos,DOMINGO,4,2024,120,16.2,25.7,6.0,8.7,18.3,0.0,56.0,134
2024-04-15,C.A.U. Burgos,Burgos,LUNES,4,2024,134,11.4,17.2,5.0,19.1,29.4,0.51,79.0,156
2024-04-16,C.A.U. Burgos,Burgos,MARTES,4,2024,156,7.7,13.6,4.0,18.7,31.7,0.0,75.0,126
2024-04-17,C.A.U. Burgos,Burgos,MIÉRCOLES,4,2024,126,7.4,13.4,4.0,21.3,29.4,0.0,72.0,136
2024-04-18,C.A.U. Burgos,Burgos,JUEVES,4,2024,136,6.6,12.5,2.0,21.3,31.7,0.0,71.0,137
2024-04-19,C.A.U. Burgos,Burgos,VIERNES,4,2024,137,7.9,19.8,-3.0,8.3,22.2,0.0,56.0,132
2024-04-20,C.A.U. Burgos,Burgos,SÁBADO,4,2024,132,9.4,17.6,2.8,21.1,33.5,0.0,57.0,118
2024-04-21,C.A.U. Burgos,Burgos,DOMINGO,4,2024,118,7.5,16.1,1.0,25.2,35.2,0.0,58.0,119
2024-04-22,C.A.U. Burgos,Burgos,LUNES,4,2024,119,5.1,10.1,0.0,25.7,37.0,0.0,57.0,135
2024-04-23,C.A.U. Burgos,Burgos,MARTES,4,2024,135,3.6,9.9,-2.3,16.1,33.5,0.0,76.0,122
2024-04-24,C.A.U. Burgos,Burgos,MIÉRCOLES,4,2024,122,5.1,13.6,-3.6,8.7,20.6,0.25,67.0,137
2024-04-25,C.A.U. Burgos,Burgos,JUEVES,4,2024,137,6.9,12.4,2.0,8.9,16.5,0.0,75.0,156
2024-04-26,C.A.U. Burgos,Burgos,VIERNES,4,2024,156,7.8,13.3,2.0,10.6,24.1,2.54,76.0,149
2024-04-27,C.A.U. Burgos,Burgos,SÁBADO,4,2024,149,6.3,9.9,1.0,18.9,35.2,1.52,85.0,108
2024-04-28,C.A.U. Burgos,Burgos,DOMINGO,4,2024,108,6.2,13.9,-1.0,9.4,25.9,4.57,75.0,123
2024-04-29,C.A.U. Burgos,Burgos,LUNES,4,2024,123,7.9,15.2,2.0,13.0,20.6,1.02,74.0,124
2024-04-30,C.A.U. Burgos,Burgos,MARTES,4,2024,124,8.2,15.6,-0.1,15.9,29.4,0.0,74.0,152
2024-05-01,C.A.U. Burgos,Burgos,MIÉRCOLES,5,2024,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122
2024-05-02,C.A.U. Burgos,Burgos,JUEVES,5,2024,122,5.2,11.0,-1.0,15.9,27.8,0.0,80.0,134
2024-05-03,C.A.U. Burgos,Burgos,VIERNES,5,2024,134,8.3,13.0,3.0,23.0,29.4,2.79,73.0,150
2024-05-04,C.A.U. Burgos,Burgos,SÁBADO,5,2024,150,12.4,19.3,8.8,25.9,38.9,0.0,69.0,110
2024-05-05,C.A.U. Burgos,Burgos,DOMINGO,5,2024,110,11.6,17.2,9.0,19.8,38.9,0.51,88.0,122
2024-05-06,C.A.U. Burgos,Burgos,LUNES,5,2024,122,9.9,15.7,6.0,9.8,22.2,10.92,76.0,153
2024-05-07,C.A.U. Burgos,Burgos,MARTES,5,2024,153,7.8,15.5,2.9,12.4,22.2,0.0,76.0,158
2024-05-08,C.A.U. Burgos,Burgos,MIÉRCOLES,5,2024,158,10.6,17.5,2.9,16.5,27.8,0.0,71.0,152
2024-05-09,C.A.U. Burgos,Burgos,JUEVES,5,2024,152,13.9,24.0,3.8,5.7,13.0,0.0,58.0,130
2024-05-10,C.A.U. Burgos,Burgos,VIERNES,5,2024,130,15.8,26.6,5.7,6.5,18.3,0.0,54.0,140
2024-05-11,C.A.U. Burgos,Burgos,SÁBADO,5,2024,140,14.5,22.6,8.4,10.6,22.2,0.0,70.0,123
2024-05-12,C.A.U. Burgos,Burgos,DOMINGO,5,2024,123,14.3,24.0,6.0,7.8,20.6,0.51,66.0,133
2024-05-13,C.A.U. Burgos,Burgos,LUNES,5,2024,133,13.3,22.9,5.8,15.2,31.7,0.0,75.0,152
2024-05-14,C.A.U. Burgos,Burgos,MARTES,5,2024,152,8.9,15.4,5.0,13.5,31.7,15.24,85.0,133
2024-05-15,C.A.U. Burgos,Burgos,MIÉRCOLES,5,2024,133,7.5,14.5,3.0,16.9,38.9,2.54,76.0,133
2024-05-16,C.A.U. Burgos,Burgos,JUEVES,5,2024,133,7.6,10.6,5.0,17.2,25.9,1.52,80.0,128
2024-05-17,C.A.U. Burgos,Burgos,VIERNES,5,2024,128,9.2,15.6,5.0,10.6,27.8,0.51,83.0,124
2024-05-18,C.A.U. Burgos,Burgos,SÁBADO,5,2024,124,8.4,15.7,2.8,8.5,25.9,1.02,82.0,139
2024-05-19,C.A.U. Burgos,Burgos,DOMINGO,5,2024,139,8.5,15.9,4.0,5.7,20.6,0.51,86.0,104
2024-05-20,C.A.U. Burgos,Burgos,LUNES,5,2024,104,9.7,16.3,5.0,8.1,20.6,3.81,80.0,174
2024-05-21,C.A.U. Burgos,Burgos,MARTES,5,2024,174,8.8,16.7,2.7,7.6,25.9,0.76,84.0,124
2024-05-22,C.A.U. Burgos,Burgos,MIÉRCOLES,5,2024,124,9.3,17.1,5.0,13.0,27.8,14.99,81.0,127
2024-05-23,C.A.U. Burgos,Burgos,JUEVES,5,2024,127,9.7,15.9,3.0,11.1,20.6,0.76,73.0,114
2024-05-24,C.A.U. Burgos,Burgos,VIERNES,5,2024,114,12.2,21.0,4.0,8.7,22.2,0.0,65.0,147
2024-05-25,C.A.U. Burgos,Burgos,SÁBADO,5,2024,147,15.0,23.3,5.0,12.2,24.1,0.0,55.0,129
2024-05-26,C.A.U. Burgos,Burgos,DOMINGO,5,2024,129,12.9,21.8,5.6,11.7,29.4,0.0,76.0,132
2024-05-27,C.A.U. Burgos,Burgos,LUNES,5,2024,132,11.4,17.4,7.0,20.9,27.8,0.0,80.0,153
2024-05-28,C.A.U. Burgos,Burgos,MARTES,5,2024,153,14.6,25.6,4.0,9.8,18.3,0.0,59.0,127
2024-05-29,C.A.U. Burgos,Burgos,MIÉRCOLES,5,2024,127,16.8,26.5,6.9,9.1,24.1,0.0,58.0,143
2024-05-30,C.A.U. Burgos,Burgos,JUEVES,5,2024,143,14.3,22.1,7.9,17.2,31.7,0.0,77.0,133
2024-05-31,C.A.U. Burgos,Burgos,VIERNES,5,2024,133,10.5,16.6,6.0,23.5,35.2,0.0,69.0,133
2024-06-01,C.A.U. Burgos,Burgos,SÁBADO,6,2024,133,10.4,17.0,5.0,22.4,35.2,0.0,74.0,152
2024-06-02,C.A.U. Burgos,Burgos,DOMINGO,6,2024,152,11.6,18.5,5.9,19.8,31.7,0.0,76.0,147
2024-06-03,C.A.U. Burgos,Burgos,LUNES,6,2024,147,13.6,20.3,8.7,21.9,29.4,0.0,73.0,151
2024-06-04,C.A.U. Burgos,Burgos,MARTES,6,2024,151,16.8,26.9,7.3,8.0,20.6,0.0,56.0,131
2024-06-05,C.A.U. Burgos,Burgos,MIÉRCOLES,6,2024,131,18.8,29.3,8.9,8.7,24.1,0.0,51.0,120
2024-06-06,C.A.U. Burgos,Burgos,JUEVES,6,2024,120,20.3,31.1,10.5,9.3,25.9,0.0,58.0,147
2024-06-07,C.A.U. Burgos,Burgos,VIERNES,6,2024,147,19.2,27.6,13.0,18.0,35.2,0.25,68.0,129
2024-06-08,C.A.U. Burgos,Burgos,SÁBADO,6,2024,129,16.7,26.2,13.0,13.7,27.8,5.08,81.0,132
2024-06-09,C.A.U. Burgos,Burgos,DOMINGO,6,2024,132,12.0,16.7,8.0,18.0,29.4,13.72,87.0,175
2024-06-10,C.A.U. Burgos,Burgos,LUNES,6,2024,175,11.3,17.3,6.0,20.7,31.7,0.0,72.0,153
2024-06-11,C.A.U. Burgos,Burgos,MARTES,6,2024,153,10.7,17.7,4.0,16.7,27.8,0.0,75.0,130
2024-06-12,C.A.U. Burgos,Burgos,MIÉRCOLES,6,2024,130,11.4,17.4,6.0,19.3,27.8,0.0,65.0,151
2024-06-13,C.A.U. Burgos,Burgos,JUEVES,6,2024,151,14.3,24.5,1.9,11.3,24.1,0.0,53.0,141
2024-06-14,C.A.U. Burgos,Burgos,VIERNES,6,2024,141,17.9,24.5,11.0,21.3,37.0,0.0,59.0,136
2024-06-15,C.A.U. Burgos,Burgos,SÁBADO,6,2024,136,14.6,22.8,8.9,10.0,20.6,0.0,54.0,111
2024-06-16,C.A.U. Burgos,Burgos,DOMINGO,6,2024,111,16.0,26.0,5.6,13.3,27.8,0.0,54.0,139
2024-06-17,C.A.U. Burgos,Burgos,LUNES,6,2024,139,18.1,27.4,9.5,15.4,33.5,0.0,51.0,174
2024-06-18,C.A.U. Burgos,Burgos,MARTES,6,2024,174,15.4,22.1,10.9,10.9,25.9,0.0,71.0,139
2024-06-19,C.A.U. Burgos,Burgos,MIÉRCOLES,6,2024,139,14.2,21.7,8.0,9.1,24.1,7.11,69.0,129
2024-06-20,C.A.U. Burgos,Burgos,JUEVES,6,2024,129,12.5,18.7,10.0,9.3,20.6,0.51,84.0,128
2024-06-21,C.A.U. Burgos,Burgos,VIERNES,6,2024,128,14.9,22.9,7.0,5.7,16.5,5.08,66.0,138
2024-06-22,C.A.U. Burgos,Burgos,SÁBADO,6,2024,138,14.3,19.6,9.0,9.4,20.6,0.0,74.0,122
2024-06-23,C.A.U. Burgos,Burgos,DOMINGO,6,2024,122,16.1,22.8,12.8,13.7,24.1,0.0,78.0,134
2024-06-24,C.A.U. Burgos,Burgos,LUNES,6,2024,134,17.8,25.3,12.0,16.9,24.1,0.0,64.0,137
2024-06-25,C.A.U. Burgos,Burgos,MARTES,6,2024,137,19.1,30.8,8.8,5.9,38.9,0.0,63.0,155
2024-06-26,C.A.U. Burgos,Burgos,MIÉRCOLES,6,2024,155,20.2,29.8,15.0,14.6,38.9,5.84,75.0,143
2024-06-27,C.A.U. Burgos,Burgos,JUEVES,6,2024,143,20.0,27.9,14.0,16.1,31.3,38.86,78.0,140
2024-06-28,C.A.U. Burgos,Burgos,VIERNES,6,2024,140,18.8,26.2,15.0,24.8,33.5,0.0,77.0,130
2024-06-29,C.A.U. Burgos,Burgos,SÁBADO,6,2024,130,15.4,19.4,14.0,8.9,18.3,0.25,87.0,127
2024-06-30,C.A.U. Burgos,Burgos,DOMINGO,6,2024,127,16.0,20.7,11.9,11.3,22.2,2.03,83.0,120
2024-07-01,C.A.U. Burgos,Burgos,LUNES,7,2024,120,14.7,20.2,9.0,18.9,27.8,0.51,74.0,141
2024-07-02,C.A.U. Burgos,Burgos,MARTES,7,2024,141,16.1,23.5,10.8,14.8,24.1,0.0,66.0,139
2024-07-03,C.A.U. Burgos,Burgos,MIÉRCOLES,7,2024,139,17.2,29.0,5.9,8.7,27.8,0.0,53.0,136
2024-07-04,C.A.U. Burgos,Burgos,JUEVES,7,2024,136,19.0,28.2,9.6,14.8,24.1,0.0,54.0,126
2024-07-05,C.A.U. Burgos,Burgos,VIERNES,7,2024,126,21.1,34.2,13.0,13.1,31.7,0.0,57.0,139
2024-07-06,C.A.U. Burgos,Burgos,SÁBADO,7,2024,139,14.3,19.3,10.0,21.3,31.7,3.3,87.0,107
2024-07-07,C.A.U. Burgos,Burgos,DOMINGO,7,2024,107,14.9,23.7,8.8,15.6,25.9,0.0,71.0,91
2024-07-08,C.A.U. Burgos,Burgos,LUNES,7,2024,91,19.8,29.4,9.0,11.5,25.9,0.0,46.0,136
2024-07-09,C.A.U. Burgos,Burgos,MARTES,7,2024,136,19.1,27.2,12.0,12.4,29.4,0.0,53.0,141
2024-07-10,C.A.U. Burgos,Burgos,MIÉRCOLES,7,2024,141,20.6,29.2,13.0,10.9,24.1,0.0,62.0,139
2024-07-11,C.A.U. Burgos,Burgos,JUEVES,7,2024,139,21.1,31.1,13.5,14.1,31.7,0.0,58.0,138
2024-07-12,C.A.U. Burgos,Burgos,VIERNES,7,2024,138,16.2,22.5,11.6,19.6,31.7,0.0,72.0,129
2024-07-13,C.A.U. Burgos,Burgos,SÁBADO,7,2024,129,17.1,26.5,10.0,17.6,25.9,0.0,65.0,102
2024-07-14,C.A.U. Burgos,Burgos,DOMINGO,7,2024,102,20.7,29.8,11.0,11.9,25.9,0.0,40.0,131
2024-07-15,C.A.U. Burgos,Burgos,LUNES,7,2024,131,18.4,26.6,12.0,19.1,37.0,0.0,60.0,129
2024-07-16,C.A.U. Burgos,Burgos,MARTES,7,2024,129,16.8,27.9,8.6,9.3,31.3,4.32,63.0,132
2024-07-17,C.A.U. Burgos,Burgos,MIÉRCOLES,7,2024,132,20.6,32.6,11.9,11.5,18.3,0.0,52.0,125
2024-07-18,C.A.U. Burgos,Burgos,JUEVES,7,2024,125,22.8,34.0,10.8,11.3,29.4,0.0,41.0,116
2024-07-19,C.A.U. Burgos,Burgos,VIERNES,7,2024,116,23.8,34.8,13.0,13.5,27.8,0.0,43.0,106
2024-07-20,C.A.U. Burgos,Burgos,SÁBADO,7,2024,106,22.1,30.6,12.6,15.6,31.7,0.0,54.0,113
2024-07-21,C.A.U. Burgos,Burgos,DOMINGO,7,2024,113,15.4,23.2,9.7,17.4,29.4,0.0,60.0,112
2024-07-22,C.A.U. Burgos,Burgos,LUNES,7,2024,112,18.2,29.6,8.0,16.1,25.9,0.0,53.0,139
2024-07-23,C.A.U. Burgos,Burgos,MARTES,7,2024,139,22.6,34.4,13.0,12.2,25.9,0.0,49.0,129
2024-07-24,C.A.U. Burgos,Burgos,MIÉRCOLES,7,2024,129,22.7,35.1,14.0,14.8,29.4,0.0,51.0,133
2024-07-25,C.A.U. Burgos,Burgos,JUEVES,7,2024,133,20.4,31.2,14.0,23.3,31.7,0.0,61.0,136
